date,service_id,exception_type
20140704,3,1
20140901,3,1
20141127,3,1
20141225,3,1
20150101,3,1
20150119,3,1
20150405,7,1
20150525,3,1
20150704,7,1
20150907,7,1
20151126,7,1
20151225,7,1
20160101,7,1
20160118,4,1
20160215,5,1
20160325,5,1
20160327,7,1
20160530,7,1
20160704,7,1
20160905,7,1
20161124,7,1
20161125,6,1
20161225,7,1
20161226,3,1
20170101,7,1
20170102,3,1
20170116,4,1
20170220,5,1
20170414,5,1
20170416,7,1
20170529,7,1
20170704,7,1
20170904,7,1
20171123,7,1
20171124,6,1
20171225,7,1
20180101,7,1
20180115,4,1
20180219,5,1
20180330,5,1
20180401,7,1
20180528,7,1
20210215,4,1
20210402,4,1
