stop_id,stop_name,stop_lat,stop_lon,location_type
1001,CATS Terminal,30.4494,-91.165543,0
1003,Cortana Pl  Walmart Transfer Center - W,30.461317,-91.091629,0
1004,Earl K. Long Transfer Center - N,30.504025,-91.1325,0
1005,Mall of Louisiana,30.390343,-91.090393,0
1011,North St @ 23rd St - E,30.453117,-91.164688,0
1012,North St @ 25th St - E,30.453159,-91.163078,0
1013,North St @ Eugene - E,30.453218,-91.161171,0
1014,North St @  Gebelin - E,30.453329,-91.158401,0
1015,North St @ Connell - E,30.453369,-91.15715,0
1016,North St @ N Acadian - E,30.453402,-91.155045,0
1017,North St @ Saguaro - E,30.453478,-91.153572,0
1018,39th @ North St - N,30.454088,-91.151016,0
1019,39th @ Jonah - N,30.455803,-91.1511,0
1020,39th @ Zion - N,30.458117,-91.151192,0
1021,39th @ Billops - N,30.460794,-91.151558,0
1022,Gus Young @ 40th St - E,30.461859,-91.150383,0
1023,Gus Young @ Capitol Elementary - E,30.461912,-91.148811,0
1024,Gus Young @ 44th St - E,30.461979,-91.145615,0
1025,Gus Young @ Columbus Dunn - S,30.462023,-91.144592,0
1026,Columbus Dunn @ Odell - S,30.459925,-91.144417,0
1027,Columbus Dunn @ Jonah - S,30.457296,-91.144341,0
1028,Columbus Dunn @ 44th - S,30.455072,-91.144142,0
1029,North St @ Turner Plaza - E,30.45377,-91.143044,0
1030,North St @ 49th St - E,30.453829,-91.140648,0
1031,Foster Dr @ Laurel - S,30.452425,-91.139191,0
1032,Foster Dr @ Laurel - N,30.452627,-91.139046,0
1033,North St @ N 48th - W,30.453979,-91.141243,0
1034,North St @ Columbus  Dunn - W,30.453905,-91.143555,0
1035,Columbus Dunn @ Jonah - N,30.457178,-91.14418,0
1036,Columbus Dunn @ Odell - N,30.459381,-91.144295,0
1037,Columbus Dunn @ Gus Young - N,30.462055,-91.144455,0
1038,Gus Young @ 43rd St - W,30.462132,-91.145905,0
1039,Gus Young @ Capitol Elementary - W,30.462055,-91.148483,0
1040,Gus Young @ 40th St - W,30.46199,-91.150192,0
1041,39th @ Cain - S,30.460548,-91.151634,0
1042,39th @ Odell - S,30.459675,-91.15155,0
1043,39th @ Zion - S,30.4583,-91.15123,0
1044,39th @ Jonah - S,30.456238,-91.151192,0
1045,39th @ North St - S,30.453695,-91.15107,0
1046,North St @ 36th - W,30.453585,-91.15313,0
1047,North St @ N Acadian - W,30.453539,-91.154579,0
1048,North St @ 32nd St - W,30.453522,-91.156097,0
1049,North St @ 30th St - W,30.453461,-91.158195,0
1050,North St @ 27th St - W,30.453388,-91.160889,0
1051,North St @ 25th St - W,30.453331,-91.162872,0
1052,North St @ 23rd St - W,30.453285,-91.164169,0
1061,Scenic @ Spanish Town - N,30.45495,-91.167305,0
1062,Scenic @ Fuqua - N,30.45735,-91.167419,0
1063,Scenic @ Plank - N,30.459457,-91.167526,0
1064,Scenic @ Bellvale - N,30.461849,-91.16758,0
1065,Scenic @ Birch - N,30.463467,-91.167732,0
1066,Scenic @ Shawnee - N,30.465406,-91.167854,0
1067,Scenic @ Pawnee - N,30.466461,-91.167923,0
1068,Scenic @ Adams - N,30.468348,-91.168015,0
1069,Scenic @ Monroe - N,30.469358,-91.168083,0
1070,Scenic @ Iroquois - N,30.471947,-91.168243,0
1071,Scenic @ Chippewa - N,30.473009,-91.168312,0
1072,Scenic @ Ontario - N,30.474863,-91.168404,0
1073,Scenic @ Winbourne - N,30.477728,-91.168587,0
1074,Scenic @ Calumet - N,30.479591,-91.168625,0
1075,Scenic @ Wyandotte - N,30.481407,-91.168785,0
1076,Scenic @ Mohican - N,30.484264,-91.168991,0
1077,Scenic @ Weller - N,30.485287,-91.169083,0
1078,Scenic @ Dayton - N,30.487839,-91.169205,0
1079,Scenic @ Cable - N,30.489893,-91.169327,0
1080,Scenic @ Evangeline/Galvez - N,30.493725,-91.169571,0
1081,Scenic @ Lorraine - N,30.496399,-91.169678,0
1082,Scenic @ Hollywood - N,30.499125,-91.169838,0
1083,Scenic @ Shada - N,30.504826,-91.170334,0
1084,Scenic @ Mason - N,30.506866,-91.170937,0
1085,Scenic @ Kaufman - N,30.509972,-91.17276,0
1086,Scenic @ 69th - N,30.511944,-91.173828,0
1087,Scenic @ 72nd - N,30.513845,-91.175072,0
1088,Scenic @ 74th - N,30.515457,-91.175964,0
1089,Scenic @ 77th - N,30.516884,-91.176819,0
1090,Scenic @ 78th - N,30.518307,-91.17762,0
1091,Scenic @ 79th - N,30.519299,-91.178223,0
1092,Harding Blvd @ Mini Dome - W,30.520372,-91.187515,0
1099,Swan @ Mini Dome - E,30.523554,-91.185394,0
1100,Scenic @ Fairchild - S,30.521929,-91.180061,0
1101,Scenic @ Curtis St - S,30.521057,-91.179558,0
1102,Scenic @ Palisades - S,30.519548,-91.178673,0
1103,Scenic @ 78th - S,30.518476,-91.178078,0
1104,Scenic @ 76th - S,30.516953,-91.177116,0
1105,Scenic @ Scotlandville Library - S,30.515617,-91.176323,0
1106,Scenic @ 72nd - S,30.514437,-91.175613,0
1107,Scenic @ 70th - S,30.512957,-91.174744,0
1108,Scenic @ 68th - S,30.511246,-91.173721,0
1109,Scenic @ Kaufman - S,30.509926,-91.172913,0
1110,Scenic @ Mason - S,30.507271,-91.171326,0
1112,Scenic @ Hollywood - S,30.499325,-91.170006,0
1113,Scenic @ Iberia - S,30.49552,-91.169769,0
1115,Scenic @ Dayton - S,30.488096,-91.169334,0
1116,Scenic @ Mohican - S,30.484224,-91.169128,0
1119,Scenic @ Ontario - S,30.474922,-91.168579,0
1120,Scenic @ Chippewa - S,30.473631,-91.168442,0
1121,Scenic @ Seneca - S,30.47154,-91.168312,0
1122,Scenic @ Choctaw - S,30.470018,-91.168243,0
1123,Scenic @ Monroe - S,30.469273,-91.168221,0
1124,Scenic @ Adams - S,30.468328,-91.168152,0
1125,Scenic @ Hemlock - S,30.466713,-91.168053,0
1126,Scenic @ Chestnut - S,30.465237,-91.167931,0
1127,Scenic @ Birch - S,30.463507,-91.167862,0
1128,Scenic @ Ellerslie - S,30.461971,-91.167786,0
1129,Scenic @ Foss - S,30.460081,-91.167686,0
1130,Scenic @ Fuqua - S,30.457432,-91.167511,0
1131,Scenic @ Spanish Town - S,30.455627,-91.167427,0
1137,4th @ north of Florida Blvd - S,30.44949,-91.187141,0
1138,Airline @ New Life Ministries - N,30.505392,-91.134048,0
1139,McClelland @ Maplewood - N,30.506929,-91.135406,0
1140,McClelland @ Glen Oaks - N,30.511381,-91.135674,0
1141,Glen Oaks @ Ash - E,30.511761,-91.132301,0
1142,Glen Oaks @ Bluegrass - E,30.511644,-91.130669,0
1143,Bluegrass @ Sumrall - E,30.513559,-91.130386,0
1144,Bluegrass @ W Upland - N,30.515635,-91.130562,0
1145,Bluegrass @ W Monarch - N,30.516285,-91.130585,0
1146,Bluegrass @ Cadillac - N,30.517658,-91.130623,0
1147,Cadillac @ Apperson - W,30.517897,-91.136383,0
1148,Cadillac @ Simplex - W,30.51782,-91.13829,0
1149,Cadillac @ Stutz - W,30.517775,-91.139519,0
1150,Cadillac @ Kissel - W,30.517704,-91.141632,0
1151,Cadillac @ Moon - W,30.517595,-91.144714,0
1152,Cadillac @ Plank - W,30.51753,-91.146614,0
1153,72nd @ Winnfield Funeral Home - S,30.515434,-91.148438,0
1154,72nd @ Memorial Park - W,30.515314,-91.149971,0
1155,72nd @ Howell - W,30.515205,-91.153854,0
1158,72nd @ YMCA - W,30.515074,-91.15535,0
1159,72nd @ Yorkshire - W,30.514685,-91.16153,0
1160,72nd @ Nottingham - W,30.514629,-91.164482,0
1161,72nd @ Middlesex - W,30.514557,-91.166344,0
1162,72nd @ Pembroke - W,30.514475,-91.168358,0
1163,72nd @ Goode - W,30.514376,-91.170898,0
1164,72nd @ Somerset - W,30.514286,-91.172997,0
1165,72nd @ Scenic - W,30.514227,-91.174675,0
1166,Scenic Hwy @ Harding Blvd - N,30.519949,-91.17868,0
1167,Scenic Hwy @ Curtis St - N,30.521181,-91.179443,0
1168,Scenic Hwy @ Fairchild - N,30.521978,-91.179893,0
1169,Scotland @ Swan - N,30.523994,-91.180489,0
1170,Hwy 19 @ Robin St - N,30.525208,-91.18029,0
1171,Hwy 19 @ Stilt - N,30.526749,-91.179993,0
1172,Hwy 19 @ Oriole - N,30.528284,-91.179749,0
1173,Hwy 19 @ Fraternity - N,30.530018,-91.179382,0
1174,Hwy 19 @ Rosenwald Rd - N,30.53141,-91.179085,0
1175,Scotland @ Scotlandville High School - N,30.53384,-91.178619,0
1176,Blount @ Scotland - W,30.543297,-91.177788,0
1177,Blount @ Tallow - W,30.541836,-91.185165,0
1178,Blount @ Scenic/Canada - W,30.541006,-91.189415,0
1179,Blount @ Kingfisher - W,30.540216,-91.191742,0
1180,Blount @ Ave D - W,30.539907,-91.193405,0
1181,Blount @ Ave F - W,30.539886,-91.195091,0
1182,Blount @ Ave G - W,30.539888,-91.195969,0
1193,Mills @ Scenic Hwy - S,30.532845,-91.186638,0
1194,Scenic Hwy @ Bittern - S,30.531731,-91.185875,0
1195,Scenic Hwy @ W.K. Gordon - S,30.530899,-91.185364,0
1196,Scenic Hwy @ Baranco - S,30.529566,-91.184555,0
1197,Scenic Hwy @ Goose St - S,30.528608,-91.183937,0
1198,Scenic Hwy @ Grebe St - S,30.527212,-91.183136,0
1199,Scenic Hwy @ Sparrow St - S,30.525875,-91.182358,0
1200,Scenic Hwy @ Swan Ave - S,30.523727,-91.181534,0
1202,Swan @  Leon Netterville - W,30.523291,-91.197166,0
1203,Leon Netterville @ Comptroller Office - S,30.521189,-91.196922,0
1204,Harding Blvd @ Elton C Harrison - E,30.520121,-91.192268,0
1205,Harding Blvd @ Teacher's Parents CU - E,30.520208,-91.189018,0
1206,Harding @ Mini Dome - E,30.52029,-91.186157,0
1207,72nd @ Scenic - E,30.514206,-91.174706,0
1208,72nd @ Somerset - E,30.514227,-91.173203,0
1209,72nd @ Goode - E,30.514328,-91.171143,0
1210,72nd @ Pembroke - E,30.514381,-91.168671,0
1211,72nd @ Middlesex - E,30.514431,-91.166649,0
1212,72nd @ Nottingham - E,30.514511,-91.164513,0
1213,72nd @ Yorkshire - E,30.514688,-91.161285,0
1214,72nd @ Howell - E,30.515102,-91.154266,0
1215,72nd @ Howell Place Apartments - E,30.515238,-91.150139,0
1216,72nd @ Plank - E,30.515408,-91.147766,0
1217,Cadillac @ Moon - E,30.51749,-91.144821,0
1218,Cadillac @ Kissel - E,30.517624,-91.141235,0
1219,Cadillac @ Stutz - E,30.517666,-91.140045,0
1220,Cadillac @ Apperson - E,30.517792,-91.136681,0
1221,Cadillac @ White - E,30.517899,-91.1334,0
1222,Bluegrass @ Cadillac - S,30.517738,-91.130821,0
1223,Bluegrass @ W Monarch - S,30.516516,-91.130661,0
1224,Bluegrass @ W Perimeter - S,30.514692,-91.130623,0
1225,Bluegrass @ Sumrall - S,30.513744,-91.130516,0
1226,Bluegrass @ Glen Oaks - S,30.511787,-91.130486,0
1233,Greenwell @ Urban Restoration Apts - W,30.502518,-91.127953,0
1234,Greenwell @ Quida Mae - W,30.502483,-91.129936,0
1235,Greenwell St @ Airline Hwy - N,30.502445,-91.131042,0
1239,Elm Grove @ Central Rd - S,30.535131,-91.16954,0
1240,Central Rd @ Jewel Newman Center - W,30.53507,-91.171883,0
1241,Central Rd @ Elm Grove - E,30.534847,-91.169548,0
1244,Swan @ Kingfisher - W,30.523588,-91.183365,0
1245,Swan @ Isabel Herson - W,30.523642,-91.186035,0
1248,St Ferdinand @ Louisiana - S,30.445175,-91.186623,0
1253,Government @ Eddie Robinson - E,30.443613,-91.175835,0
1259,22nd @ Louisiana - N,30.445633,-91.165771,0
1260,22nd @ North Blvd - N,30.447575,-91.165771,0
