trip_id,route_id,service_id,trip_headsign,block_id,shape_id
1548,3,1,Outbound,1103,27
2168,16,2,Outbound,4702,18
2086,13,2,Inbound,4104,2
2066,13,2,Outbound,4102,13
903,19,3,Outbound,5401,29
2887,14,3,Outbound,4401,14
1648,5,1,Outbound,801,41
1759,7,1,Inbound,1702,16
2566,14,1,Inbound,4403,32
165,12,2,Outbound,1502,24
2338,25,1,Inbound,6001,43
1210,22,2,Inbound,5702,5
1421,1,1,Inbound,801,34
96,10,3,Outbound,2101,10
1006,5,2,Outbound,802,41
2582,1,1,Outbound,802,22
1178,16,1,Outbound,4702,18
1495,2,1,Inbound,1001,37
1060,32,3,Outbound,1502,40
2773,23,1,Outbound,5803,1
2733,16,3,Outbound,4702,18
1153,15,3,Outbound,4601,21
2179,16,2,Outbound,4701,18
1004,5,2,Outbound,802,41
1602,4,1,Outbound,1201,0
604,23,2,Inbound,4405,4
1500,2,1,Inbound,1001,37
264,16,1,Inbound,4702,8
446,24,3,Inbound,4402,28
228,16,1,Outbound,4704,18
249,16,1,Inbound,4703,8
1637,4,1,Inbound,1201,12
2647,4,2,Outbound,1201,0
2817,24,1,Inbound,5802,28
976,3,3,Outbound,1101,27
194,12,3,Outbound,1501,24
2415,26,1,Outbound,7001,7
970,3,2,Inbound,4102,19
1889,10,1,Outbound,2102,10
189,12,2,Inbound,1503,23
1014,5,2,Outbound,802,41
1157,15,3,Outbound,4601,21
2370,25,2,Inbound,6002,43
2174,16,2,Outbound,4702,18
1588,3,1,Inbound,1103,19
993,3,3,Inbound,1102,19
2786,23,1,Inbound,5801,4
2346,25,2,Outbound,6001,3
1012,5,2,Outbound,802,41
178,12,2,Inbound,1502,23
246,16,1,Inbound,4704,8
1005,5,2,Outbound,801,41
2905,14,3,Inbound,4405,32
1890,10,1,Outbound,2101,10
1826,9,1,Outbound,2001,30
2330,25,1,Inbound,6001,43
919,19,3,Inbound,5401,35
262,16,1,Inbound,4704,8
237,16,1,Outbound,4701,18
1102,9,2,Outbound,2001,30
429,24,3,Outbound,4405,20
1258,26,3,Outbound,7001,7
2607,13,3,Outbound,1101,13
168,12,2,Outbound,1502,24
2353,25,2,Outbound,6002,3
2056,13,2,Outbound,4101,13
2510,14,1,Outbound,4401,14
2263,22,1,Inbound,5702,5
2676,4,2,Inbound,1201,12
2901,14,3,Inbound,4406,32
1019,5,2,Inbound,801,39
2890,14,3,Outbound,4405,14
2203,19,1,Outbound,5401,29
64,10,2,Outbound,2101,10
2806,24,1,Outbound,5802,20
2039,13,1,Inbound,1103,2
1232,22,3,Inbound,5702,5
2551,14,1,Inbound,4404,32
1746,7,1,Outbound,1702,11
412,24,2,Inbound,4401,28
1443,1,3,Outbound,801,22
211,12,3,Inbound,1501,23
1845,9,1,Outbound,2002,30
1188,22,2,Outbound,5702,15
1741,7,1,Outbound,1701,11
2206,19,1,Outbound,5402,29
2238,22,1,Outbound,5701,15
1236,22,3,Inbound,5702,5
1131,14,2,Outbound,4402,14
2435,26,1,Inbound,7002,6
1962,12,1,Outbound,1503,24
2137,15,1,Inbound,4602,17
2898,14,3,Inbound,4402,32
1598,4,1,Outbound,1201,0
2484,14,1,Outbound,4403,14
2987,8,1,Inbound,1801,25
2156,15,2,Outbound,4602,21
1138,15,2,Inbound,4602,17
1872,9,1,Inbound,2001,33
136,11,2,Inbound,2201,31
2697,7,2,Outbound,1701,11
1563,3,1,Inbound,1102,19
2311,25,1,Outbound,6002,3
2921,14,3,Inbound,4404,32
261,16,1,Inbound,4703,8
1406,1,1,Inbound,802,34
69,10,2,Outbound,2101,10
974,3,2,Inbound,4102,19
2401,25,3,Inbound,6002,43
1171,15,3,Inbound,4601,17
2906,14,3,Inbound,4403,32
2354,25,2,Outbound,6001,3
1689,5,3,Outbound,802,41
2392,25,3,Outbound,6002,3
2126,15,1,Outbound,4602,21
2286,23,3,Outbound,4403,1
2525,14,1,Inbound,4402,32
2382,25,3,Outbound,6002,3
1661,5,1,Inbound,801,39
2103,13,2,Inbound,4102,2
2273,22,1,Inbound,5701,5
1645,5,1,Outbound,802,41
35,9,2,Inbound,2001,33
2495,14,1,Outbound,4402,14
2492,14,1,Outbound,4403,14
83,10,2,Inbound,2101,9
2163,16,2,Outbound,4703,18
1652,5,1,Outbound,801,41
1537,3,1,Outbound,1101,27
1077,32,3,Inbound,1502,45
997,3,3,Inbound,1102,19
1533,3,1,Outbound,1101,27
913,19,3,Inbound,5401,35
2207,19,1,Outbound,5401,29
1958,12,1,Outbound,1501,24
2352,25,2,Outbound,6001,3
934,2,3,Inbound,1001,37
1530,2,3,Outbound,1001,42
1056,32,2,Inbound,1503,45
2094,13,2,Inbound,4104,2
2377,25,2,Inbound,6001,43
255,16,1,Inbound,4701,8
2003,13,1,Outbound,1102,13
1744,7,1,Outbound,1702,11
2871,14,3,Outbound,4402,14
1815,8,3,Inbound,1801,25
2335,25,1,Inbound,6002,43
591,23,2,Outbound,4403,1
902,19,3,Outbound,5402,29
866,19,2,Outbound,5402,29
1781,8,2,Outbound,1802,26
1460,1,3,Inbound,801,34
1925,11,1,Outbound,2201,36
1118,12,3,Outbound,1501,24
2428,26,1,Outbound,7002,7
144,11,3,Outbound,2202,36
1792,8,2,Inbound,1802,25
971,3,2,Inbound,4101,19
2819,24,1,Inbound,5803,28
2015,13,1,Outbound,1102,13
2610,13,3,Outbound,1104,13
1053,32,2,Inbound,1503,45
2680,4,2,Inbound,1201,12
2227,19,1,Inbound,5402,35
844,7,3,Outbound,1701,11
239,16,1,Outbound,4703,18
1985,12,1,Inbound,1502,23
444,24,3,Inbound,4403,28
58,9,3,Inbound,2001,33
23,9,2,Outbound,2001,30
2945,4,3,Inbound,1202,12
1425,1,1,Inbound,801,34
2198,16,2,Inbound,4703,8
2884,14,3,Outbound,4405,14
61,9,3,Inbound,2001,33
142,11,2,Inbound,2201,31
1181,16,1,Inbound,4702,8
1505,2,2,Outbound,1001,42
2555,14,1,Inbound,4404,32
2281,23,3,Outbound,4401,1
192,12,3,Outbound,1502,24
2959,12,3,Outbound,1502,24
71,10,2,Outbound,2101,10
1127,14,2,Outbound,4401,14
1843,9,1,Outbound,2002,30
1758,7,1,Inbound,1701,16
1008,5,2,Outbound,802,41
915,19,3,Inbound,5401,35
2561,14,1,Inbound,4402,32
1037,32,2,Outbound,1501,40
1561,3,1,Outbound,1101,27
847,7,3,Outbound,1701,11
2414,26,1,Outbound,7002,7
1468,1,3,Inbound,801,34
1185,22,2,Outbound,5701,15
1660,5,1,Inbound,802,39
1066,32,3,Outbound,1502,40
2899,14,3,Inbound,4405,32
2641,13,3,Inbound,1101,2
1233,22,3,Inbound,5701,5
1848,9,1,Outbound,2001,30
2332,25,1,Inbound,6001,43
1473,2,1,Outbound,1001,42
2597,13,3,Outbound,1102,13
2828,14,2,Inbound,4403,32
600,23,2,Inbound,4404,4
1871,9,1,Inbound,2002,33
1662,5,1,Inbound,802,39
2657,4,2,Outbound,1201,0
2847,14,2,Inbound,4406,32
81,10,2,Inbound,2101,9
166,12,2,Outbound,1501,24
1976,12,1,Inbound,1502,23
190,12,2,Inbound,1502,23
1963,12,1,Outbound,1502,24
2450,26,2,Outbound,7001,7
2671,4,2,Inbound,1202,12
1150,15,2,Inbound,4602,17
2175,16,2,Outbound,4703,18
75,10,2,Outbound,2101,10
2046,13,1,Inbound,1102,2
2407,25,3,Inbound,6002,43
2181,16,2,Inbound,4701,8
2664,4,2,Outbound,1202,0
2751,16,3,Inbound,4702,8
1016,5,2,Outbound,802,41
2567,14,1,Inbound,4404,38
2562,14,1,Inbound,4403,32
2269,22,1,Inbound,5702,5
2977,8,1,Inbound,1801,25
2516,14,1,Outbound,4403,14
2262,22,1,Inbound,5703,5
1743,7,1,Outbound,1701,11
1033,32,2,Outbound,1502,40
896,19,3,Outbound,5402,29
1769,7,1,Inbound,1702,16
197,12,3,Outbound,1501,24
2605,13,3,Outbound,1102,13
2092,13,2,Inbound,4104,2
1046,32,2,Inbound,1501,45
2000,13,1,Outbound,1103,13
1731,32,1,Inbound,1502,45
2672,4,2,Inbound,1201,12
1489,2,1,Inbound,1001,37
160,11,3,Inbound,2201,31
1230,22,3,Inbound,5702,5
2423,26,1,Outbound,7001,7
2688,7,2,Outbound,1702,11
2793,23,1,Inbound,5803,4
1262,26,3,Inbound,7002,6
1580,3,1,Inbound,1103,19
2153,15,2,Outbound,4601,21
2222,19,1,Inbound,5401,35
2504,14,1,Outbound,4403,14
2306,25,1,Outbound,6001,3
1763,7,1,Inbound,1702,16
32,9,2,Inbound,2001,33
1876,9,1,Inbound,2001,33
2399,25,3,Inbound,6002,43
1431,1,2,Inbound,801,34
2867,14,2,Outbound,4404,14
198,12,3,Outbound,1502,24
985,3,3,Outbound,1102,27
1227,22,3,Inbound,5701,5
133,11,2,Inbound,2202,31
1124,14,2,Outbound,4401,14
267,16,1,Inbound,4701,8
1547,3,1,Outbound,1102,27
1934,11,1,Outbound,2202,36
986,3,3,Outbound,1101,27
1923,11,1,Outbound,2201,36
889,19,2,Inbound,5402,35
2132,15,1,Inbound,4601,17
10,1,2,Outbound,802,22
875,19,2,Outbound,5401,29
2350,25,2,Outbound,6001,3
135,11,2,Inbound,2202,31
602,23,2,Inbound,4406,4
1789,8,2,Inbound,1801,25
2081,13,2,Outbound,4104,13
2609,13,3,Outbound,1102,13
1708,32,1,Outbound,1503,40
8,1,2,Outbound,802,22
1562,3,1,Outbound,1104,27
2054,13,2,Outbound,4102,13
2371,25,2,Inbound,6001,43
250,16,1,Inbound,4704,8
1,1,2,Outbound,801,22
2438,26,1,Inbound,7001,6
154,11,3,Inbound,2201,31
2357,25,2,Outbound,6002,3
1866,9,1,Inbound,2001,33
1686,5,3,Outbound,801,41
2084,13,2,Inbound,4104,2
2279,23,3,Outbound,4402,1
1206,22,2,Inbound,5702,5
173,12,2,Outbound,1503,24
1439,1,2,Inbound,801,34
182,12,2,Inbound,1501,23
1802,8,3,Outbound,1802,26
1998,13,1,Outbound,1104,13
131,11,2,Inbound,2202,31
122,11,2,Outbound,2202,36
2579,1,1,Outbound,801,22
2364,25,2,Inbound,6002,43
2123,15,1,Outbound,4601,21
2101,13,2,Inbound,4101,2
53,9,3,Inbound,2001,33
2192,16,2,Inbound,4703,8
2575,1,1,Outbound,801,22
945,2,3,Inbound,1001,37
2674,4,2,Inbound,1201,12
1249,26,3,Outbound,7002,7
2938,4,3,Outbound,1202,0
2180,16,2,Inbound,4703,8
2074,13,2,Outbound,4102,13
1240,24,2,Outbound,4406,20
2146,15,2,Outbound,4602,21
1478,2,1,Outbound,1001,42
2013,13,1,Outbound,1101,13
894,19,2,Inbound,5401,35
1020,5,2,Inbound,802,39
9,1,2,Outbound,801,22
2189,16,2,Inbound,4703,8
1785,8,2,Inbound,1801,25
2653,4,2,Outbound,1201,0
1711,32,1,Outbound,1503,40
2880,14,3,Outbound,4406,14
1550,3,1,Outbound,1104,27
1840,9,1,Outbound,2001,30
966,3,2,Inbound,4102,19
1975,12,1,Inbound,1503,23
2683,4,2,Inbound,1202,12
2299,23,3,Inbound,4405,4
1564,3,1,Inbound,1103,19
1559,3,1,Outbound,1102,27
849,7,3,Outbound,1701,11
37,9,2,Inbound,2001,33
1504,2,2,Outbound,1001,42
1123,14,2,Outbound,4403,14
415,24,2,Inbound,4401,28
2455,26,2,Outbound,7002,7
1951,11,1,Inbound,2201,31
410,24,2,Outbound,4404,20
1413,1,1,Inbound,801,34
840,7,3,Outbound,1701,11
2693,7,2,Outbound,1701,11
581,23,2,Outbound,4402,1
984,3,3,Outbound,1101,27
186,12,2,Inbound,1503,23
1805,8,3,Outbound,1801,26
2810,24,1,Inbound,5803,28
1813,8,3,Inbound,1801,25
2721,7,2,Inbound,1702,16
2927,4,3,Outbound,1201,0
114,10,3,Inbound,2101,9
2903,14,3,Inbound,4404,32
1105,9,2,Inbound,2001,33
431,24,3,Outbound,4404,20
172,12,2,Outbound,1501,24
917,19,3,Inbound,5401,35
2962,8,1,Outbound,1801,26
982,3,3,Outbound,1101,27
962,3,2,Inbound,4102,19
862,7,3,Inbound,1701,16
1591,3,1,Inbound,1102,19
439,24,3,Inbound,4401,28
2794,24,1,Outbound,5802,20
935,2,3,Inbound,1001,37
